# 01-overview.sch:,,,,
# --------------------------------------------,,,,
CB19,SMD_POLAR 140 110,P16641CT-ND,,
CB20,SMD_SIMPLE 60 30,490-1532-1-ND,done,
CB21,SMD_POLAR 80 50,511-1683-1-ND,done,
CB22,SMD_SIMPLE 60 30,490-1532-1-ND,done,
CB23,SMD_POLAR 140 110,P16641CT-ND ,,
R21,SMD_SIMPLE 60 30,P3.16KHCT-ND ,,
R22,SMD_SIMPLE 60 30,P1.00KHCT-ND ,,
R23,SMD_SIMPLE 60 30,P1.00KHCT-ND ,,
R24,SMD_SIMPLE 60 30,P3.16KHCT-ND,,
U09,LT1764-DDPAK5,LT1764AEQ#TRPBFCT-ND,done,LT1764AEQ
U10,LT1764-DDPAK5,LT3015EQ#PBF-ND,done,
,,,,
# 10-iso.sch:,optoiso,,,
# --------------------------------------------,,,,
CB24,SMD_SIMPLE 60 30,490-1532-1-ND,done,
CB25,SMD_POLAR 80 50,511-1683-1-ND,done,
R25,SMD_SIMPLE 60 30,P330HCT-ND,done,
R26,SMD_SIMPLE 60 30,P330HCT-ND,done,
R27,SMD_SIMPLE 60 30,P330HCT-ND,done,
R28,SMD_SIMPLE 60 30,P10.0KHCT-ND,done,
R29,SMD_SIMPLE 60 30,P10.0KHCT-ND,done,
R30,SMD_SIMPLE 60 30,P10.0KHCT-ND,done,
U11,SO16,516-2221-1-ND,done,ACSL-6300-00
,,,,ACSL-6420-50TE можливо замініти 
# 11-asc-tune-1of2.sch:,voltage monitor,High−current Supervisor,,https://www.rcscomponents.kiev.ua/modules.php?name=Asers_Shop&s_op=search&query=OPTOISO%202.5KV
# --------------------------------------------,,,,
CB26,SMD_SIMPLE 60 30,490-1532-1-ND,done,
CB27,SMD_POLAR 80 50,511-1683-1-ND,done,
CB28,SMD_SIMPLE 60 30,490-1532-1-ND,done,
CB29,SMD_POLAR 80 50,511-1683-1-ND,done,
CT01,SMD_SIMPLE 60 30,PCF1461CT-ND ,,
CT02,SMD_SIMPLE 60 30,PCF1465CT-ND,,
CT03,SMD_SIMPLE 60 30,PCF1451CT-ND,,
CT04,SMD_SIMPLE 60 30,PCF1455CT-ND,,
CT05,SMD_SIMPLE 80 50,PCF1171CT-ND,,
CT06,SMD_SIMPLE 80 50,PCF1175CT-ND,,
CT07,SMD_SIMPLE 120 60,PCF1179CT-ND,,
CT08,SMD_SIMPLE 120 60,PCF1183CT-ND,,
R31,SMD_SIMPLE 60 30,P10.0KHCT-ND,done,
U12,TSSOP24,ADG714BRUZ-REEL7CT-ND,done,LTC2909
,,,,
# 12-asc-tune-2of2.sch:,,,,
# --------------------------------------------,,,,
CT09,SMD_SIMPLE 120 100,PCF1187CT-ND ,,
CT10,SMD_SIMPLE 120 100,PCF1189CT-ND ,,
CT11,SMD_SIMPLE 120 60,PCF1128CT-ND,,
CT12,SMD_SIMPLE 120 60,PCF1129CT-ND,,
CT13,SMD_SIMPLE 120 60,PCF1131CT-ND,,
CT14,SMD_SIMPLE 60 30,490-1536-1-ND ,,
CT15,SMD_SIMPLE 60 30,490-3296-1-ND ,,
CT16,SMD_SIMPLE 60 30,490-7205-1-ND ,,
U13,TSSOP24,ADG714BRUZ-REEL7CT-ND,done,
,,,,
# 13-asc-ina.sch:,,,,
# --------------------------------------------,,,,
C14,SMD_SIMPLE 80 50,PCF1177CT-ND  10uF,done,
C15,SMD_SIMPLE 80 50,PCF1126CT-ND 100nF,done,
C16,SMD_SIMPLE 80 50,PCF1177CT-ND  10uF,done,
C17,SMD_SIMPLE 60 30,PCF1445CT-ND 220pF,done,
CB30,SMD_SIMPLE 60 30,490-1532-1-ND  100nF,done,
CB31,SMD_POLAR 80 50,511-1683-1-ND  10uF,done,
CB32,SMD_SIMPLE 60 30,490-1532-1-ND  100nF,done,
CB33,SMD_POLAR 80 50,511-1683-1-ND  10uF,done,
D05,SOT23,568-1619-1-ND ,done,"Bav199,215"
L03,SMD_SIMPLE 60 30,490-1037-1-ND ,done,
L04,SMD_SIMPLE 60 30,490-1037-1-ND ,done,
R32,SMD_SIMPLE 60 30,P49.9DBCT-ND 50Om,done,
R33,SMD_SIMPLE 60 30,P49.9DBCT-ND 50Om,done,
R34,SMD_SIMPLE 60 30,A102234CT-ND 1M,done,
R35,SMD_SIMPLE 60 30,A102234CT-ND 1M,done,
U14,SO8,AD8428ARZ-ND,done,AD8428ARZ Radiomag
,,,,
# 14-asc-gain.sch:,,,,
# --------------------------------------------,,,,
C18,SMD_SIMPLE 80 50,PCF1126CT-ND 100nF,done,
CB34,SMD_SIMPLE 60 30,490-1532-1-ND,done,
CB35,SMD_POLAR 80 50,511-1683-1-ND,done,
CB36,SMD_SIMPLE 60 30,490-1532-1-ND,done,
CB37,SMD_POLAR 80 50,511-1683-1-ND,done,
R36,SMD_SIMPLE 60 30,P100KDBCT-ND,done,
R37,SMD_SIMPLE 60 30,P1.0KDBCT-ND  ,done,
R38,SMD_SIMPLE 60 30,CRT0603-BY-10R0ELFCT-ND,done,RES SMD 10 OHM 0.1% 1/10W 0603
U15,SO8,AD8597ARZ-ND,done,AD8597ARZ radiomag
,,,,
# 15-asc-fil-1of2.sch:,,,,
# --------------------------------------------,,,,
C19,SMD_SIMPLE 80 50,PCF1177CT-ND  10uF,done,
C20,SMD_SIMPLE 80 50,PCF1177CT-ND  10uF,done,
C21,SMD_SIMPLE 80 50,PCF1177CT-ND  10uF,done,
C22,SMD_SIMPLE 80 50,PCF1177CT-ND  10uF,done,
CB38,SMD_SIMPLE 60 30,490-1532-1-ND,done,
CB39,SMD_POLAR 80 50,511-1683-1-ND,done,
CB40,SMD_SIMPLE 60 30,490-1532-1-ND,done,
CB41,SMD_POLAR 80 50,511-1683-1-ND,done,
RF01,SMD_SIMPLE 60 30,P14.3KHCT-ND 14.7,done,
RF02,SMD_SIMPLE 60 30,P15.4KHCT-ND 15.4,done,
RF03,SMD_SIMPLE 60 30,P45.3KHCT-ND 46.4,done,
RF04,SMD_SIMPLE 60 30,P5.49KHCT-ND 5.36,done,
RF05,SMD_SIMPLE 60 30,P6.04KHCT-ND,done,
RF06,SMD_SIMPLE 60 30,P17.4KHCT-ND  17.8k,done,
